id,cluster
405774,42
15400,142
2024,158
127380,69
10564,23
323661,21
13550,170
411,241
1553,51
912,33
12230,69
9003,60
454227,83
22494,104
327,15
366924,235
408,58
7270,15
2383,119
9555,201
652,122
281338,174
424781,196
12149,162
85739,25
265228,4
864,163
11797,105
184352,35
432087,120
4588,154
13378,237
1885,90
847,189
493922,170
43539,33
4192,136
76025,108
7326,48
180863,27
2671,17
9846,0
9802,144
77495,167
1958,12
62211,32
10895,32
465136,121
428449,115
70667,122
11386,33
10545,37
2280,63
16052,152
30508,56
1272,91
9454,23
300,109
646,209
10707,82
9303,33
33914,202
644,44
9427,175
24684,3
10436,13
7299,123
8051,120
339987,46
173,44
926,200
8974,123
9606,235
87093,124
395991,4
12914,140
109410,125
9441,23
24469,2
343668,228
298382,4
9820,202
11831,96
474395,138
10220,53
10122,229
65215,142
1857,235
15487,67
1090,190
9929,69
7485,173
11075,1
281,66
250734,43
2469,129
381283,49
330483,46
15849,172
397837,35
65,56
9701,54
3472,15
755,81
53487,24
13342,11
9443,96
2604,14
174,92
448095,210
11367,97
1581,36
363088,222
10497,41
1584,135
9692,4
9430,97
13198,63
2100,72
4464,96
14506,80
8095,126
324552,81
166666,19
20766,39
1381,44
56292,209
36658,92
77877,124
9631,176
9953,2
2907,157
84329,104
489931,19
1808,56
36657,18
809,21
10198,32
55347,23
10130,4
302946,15
9026,126
4643,231
25196,6
13416,67
11616,228
341744,7
337556,121
333371,66
26428,201
16553,188
93456,142
1934,36
1637,227
401246,4
2322,129
17111,170
350312,110
11633,235
12335,21
13253,200
10876,4
558,189
67913,168
221902,4
1630,4
2295,165
12225,23
62177,21
11224,195
118,80
51162,32
254320,99
285783,85
13809,81
11879,59
19204,214
377154,4
253980,72
157350,134
35,142
46705,46
11329,203
10297,36
210479,124
3170,37
1547,232
113947,23
11843,97
347031,63
2164,18
401847,129
12268,97
8009,189
445571,12
18240,23
11689,148
298115,21
60670,47
408220,235
55787,43
1833,154
321612,195
9392,172
8272,108
13920,93
49009,96
263109,69
84175,39
1770,83
533,69
18937,16
8833,148
11848,37
16938,31
402900,168
97630,162
1832,80
7445,42
262551,233
369192,71
9952,14
10218,36
2061,117
388399,117
10537,114
67660,36
187017,164
9487,69
242090,23
10530,95
97367,19
39013,4
209451,152
11904,226
4148,127
14337,66
76492,142
15856,106
338952,241
9667,167
171372,11
392,128
188166,0
586,54
73532,7
399057,35
285923,151
8052,42
14924,6
9386,173
13939,117
